0,50,50
0,51,49
0,52,48
0,53,47
0,54,46
0,55,45
0,56,44
0,57,43
0,58,42
0,59,41
1,60,40
1,61,39
1,62,38
1,63,37
2,64,36
2,65,35
2,66,34
3,67,33
3,68,32
3,69,31
4,70,30
4,71,29
5,72,28
5,73,27
6,74,26
6,75,25
7,76,24
8,77,23
8,78,22
9,79,21
10,80,20
11,81,19
12,82,18
12,83,17
13,84,16
14,85,15
15,86,14
16,87,13
17,88,12
18,88,12
19,89,11
20,90,10
21,91,9
22,91,9
23,92,8
24,93,7
25,93,7
26,94,6
27,94,6
28,95,5
29,95,5
30,96,4
31,96,4
32,97,3
33,97,3
34,97,3
35,98,2
36,98,2
37,98,2
38,99,1
39,99,1
40,99,1
41,99,1
42,99,1
43,100,0
44,100,0
45,100,0
46,100,0
47,100,0
48,100,0
49,100,0
50,100,0
51,100,0
52,100,0
53,100,0
54,100,0
55,100,0
56,100,0
57,100,0
58,99,1
59,99,1
60,99,1
61,99,1
62,99,1
63,98,2
64,98,2
65,98,2
66,97,3
67,97,3
68,97,3
69,96,4
70,96,4
71,95,5
72,95,5
73,94,6
74,94,6
75,93,7
76,93,7
77,92,8
78,91,9
79,91,9
80,90,10
81,89,11
82,88,12
83,88,12
84,87,13
85,86,14
86,85,15
87,84,16
88,83,17
88,82,18
89,81,19
90,80,20
91,79,21
92,78,22
92,77,23
93,76,24
94,75,25
94,74,26
95,73,27
95,72,28
96,71,29
96,70,30
97,69,31
97,68,32
97,67,33
98,66,34
98,65,35
98,64,36
99,63,37
99,62,38
99,61,39
99,60,40
100,59,41
100,58,42
100,57,43
100,56,44
100,55,45
100,54,46
100,53,47
100,52,48
100,51,49
100,50,50
